generic_name_raw,brand_name_raw,product_type,route,source
Testosterone Cypionate,Testosterone Cypionate,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,snapshot
HISTAMINE DIHYDROCHLORIDE,Histaminum Hydrochloricum,HUMAN OTC DRUG,SUBLINGUAL,snapshot
Amoxicillin,Amoxicillin,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
"HOMOSALATE, OCTISALATE, OCTOCRYLENE, ZINC OXIDE",e.l.f. Hydrating Camo CC Cream SPF30 Rich 660 N,HUMAN OTC DRUG,TOPICAL,snapshot
Gemachlich ZuHause WART REMOVER,Gemachlich ZuHause WART REMOVER,HUMAN OTC DRUG,TOPICAL,snapshot
SIMVASTATIN,ZOCOR,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
LIDOCAINE,Meijer Lidocaine Pain Relief Patch Assortment Large,HUMAN OTC DRUG,TOPICAL,snapshot
"acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride, doxylamine succinate",daytime cold and flu nighttime cold and flu,HUMAN OTC DRUG,,snapshot
"HOMOSALATE, OCTOCRYLENE, ZINC OXIDE",Target Up and Up Morning Facial Moisturizing with SPF 30 Sunscreen and Ceramides,HUMAN OTC DRUG,TOPICAL,snapshot
"Avobenzone, Octisalate, and Octocrylene",Lancome Paris Renergie HPN 300 Peptide Sunscreen Broad Spectrum SPF 25 High-Performance Day,HUMAN OTC DRUG,TOPICAL,snapshot
Professional Choice Toothpaste,Professional Choice,HUMAN OTC DRUG,DENTAL,snapshot
Sennosides,Laxative,HUMAN OTC DRUG,ORAL,snapshot
"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate, Phenylephrine hydrochloride",Daytime Nighttime Cold and Flu,HUMAN OTC DRUG,ORAL,snapshot
Celecoxib,Celecoxib,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Hydralazine Hydrochloride,Hydralazine Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Meloxicam,Meloxicam,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Primidone,Primidone,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Iohexol,Iohexol,HUMAN PRESCRIPTION DRUG,INTRA-ARTICULAR,snapshot
Sunscreen,Le Mieux Naked Glow Bronzer SPF 50,HUMAN OTC DRUG,TOPICAL,snapshot
Docosanol,Cold Sore Treatment,HUMAN OTC DRUG,TOPICAL,snapshot
Lotilaner ophthalmic solution,XDEMVY,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,snapshot
ZINC OXIDE,Curology the sunscreen broad spectrum SPF 30,HUMAN OTC DRUG,TOPICAL,snapshot
Right Guard Xtreme Defense Antiperspirant Deodorant Invisible Solid Arctic Refresh,Right Guard Xtreme Defense Antiperspirant Deodorant Invisible Solid Arctic Refresh,HUMAN OTC DRUG,TOPICAL,snapshot
Fluconazole,Fluconazole,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
PROGESTERONE,PROGESTERONE,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Menthol,Healing Hand Cream 2000mg,HUMAN OTC DRUG,TOPICAL,snapshot
Natrum Phosphoricum,Bestmade Natural Products Nat Phos 8x,HUMAN OTC DRUG,ORAL,snapshot
"Ailanthus gland, Amygdalus amara, Guaiacum, Kali perm, Phytolacca berry",Bestmade Natural Products BM225,HUMAN OTC DRUG,ORAL,snapshot
"Echinacea, Oleum Jeco, Thuja Occ",BM OLEUM JECORIS DROPS,HUMAN OTC DRUG,ORAL,snapshot
"Foeniculum Vulgare, Ammonium Bromatum, Fucus Vesiculosus, Lecithin (Derived From Egg), Capsicum Annuum, Caulophyllum Thalictrines, Cimicifuga Racemosa, Galium Aparine, Hypothalamus Suis, Kali Bichromicum, Lac Defloratum, Phytolacca Decandra, Rubus Idaeus, Thyroidinum (Bovine), Pituitarum Posterium (Bovine), Antimonium Crudum, Argentum Metallicum, Calcarea Carbonica, Adrenalinum, Phosphorus, Hepar Sulphuris Calcareum, Progesterone, Oxytocin",Weight Loss Support Plus Female Balance,HUMAN OTC DRUG,ORAL,snapshot
Salicylic Acid,Resurfacing acne swipes,HUMAN OTC DRUG,TOPICAL,snapshot
Calcium Carbonate,MGC Health Calcium Carbonate Antacid Assorted Berries,HUMAN OTC DRUG,ORAL,snapshot
Salicylic Acid,CLARIFYING TONER,HUMAN OTC DRUG,TOPICAL,snapshot
"Polyvinyl alcohol, Povidone",Quality Choice Artificial Tears Lubricant Eye Drops,HUMAN OTC DRUG,OPHTHALMIC,snapshot
Betamethasone Dipropionate,Betamethasone Dipropionate,HUMAN PRESCRIPTION DRUG,TOPICAL,snapshot
ustekinumab-ttwe,PYZCHIVA,HUMAN PRESCRIPTION DRUG,SUBCUTANEOUS,snapshot
piperacillin and tazobactam,Piperacillin and Tazobactam,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,snapshot
"Glycerin, Petrolatum, Phenylephrine HCl, Pramoxine HCl",Bloop Hemorrhoid Relief Topical,HUMAN OTC DRUG,TOPICAL,snapshot
Alprazolam,Alprazolam,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
"Avobenzone, and Octisalate",Tula Skincare Radiant Skin Brightening Serum Skin Tint Broad Spectrum SPF 30 11 Light Medium-Neutral,HUMAN OTC DRUG,TOPICAL,snapshot
Stannous fluoride,Crest Pro-Health Gum Detoxify Plus,HUMAN OTC DRUG,DENTAL,snapshot
