stem,meaning
-olol,beta-blocker
-pril,ACE inhibitor
-sartan,angiotensin II receptor antagonist
-statin,HMG-CoA reductase inhibitor (cholesterol-lowering)
-dipine,calcium channel blocker (dihydropyridine)
-mab,monoclonal antibody
-ximab,chimeric monoclonal antibody
-zumab,humanized monoclonal antibody
-umab,human monoclonal antibody
-tinib,tyrosine kinase inhibitor
-nib,kinase inhibitor (broader class)
-ciclib,CDK inhibitor
-lisib,PI3K inhibitor
-azepam,benzodiazepine (anxiolytic/sedative)
-caine,local anesthetic
-cillin,penicillin-class antibiotic
-cycline,tetracycline-class antibiotic
-floxacin,fluoroquinolone antibiotic
-mycin,antibiotic (Streptomyces-derived)
-oxacin,quinolone antibiotic (older generation)
-vir,antiviral
-navir,protease inhibitor (antiviral)
-parin,heparin-related anticoagulant
-triptan,serotonin receptor agonist (migraine)
-olone,corticosteroid
-asone,corticosteroid
-prazole,proton pump inhibitor
-tidine,H2 receptor antagonist
-glitazone,thiazolidinedione (antidiabetic)
-gliptin,DPP-4 inhibitor (antidiabetic)
-feron,interferon
-leukin,interleukin
-cel,cellular therapy
-ase,enzyme
