candidate_name,accepted,proposer,round,quality_total,composite_risk_score,risk_band,margin_to_review,margin_to_reject,nearest_match,pronounceability,syllables,failure_codes,warning_codes,refined_from,lineage,q_distinctiveness,q_novelty,q_pronounceability,q_seam,q_morpheme_hygiene,q_shape,q_typicality,sweep_target,target_type,target_stem,difficulty,in_shortlist,q_stem_avoidance,q_memorability
nobidapril,False,grammar,1,62.59,64.59,moderate,-9.59,5.41,dicapryl,0.6664,4,INTRA_STEM_TOO_CLOSE,SIMILARITY_MODERATE,,nobidapril,0.0,0.733,0.924,1.0,1.0,0.998,0.001,ACE inhibitor,generic,-pril,roomy,False,,
ciszopril,False,grammar,1,65.84,63.04,moderate,-8.04,6.96,isuprel,0.6087,3,TRADEMARK_HIT,SIMILARITY_MODERATE,,ciszopril,0.0,1.0,0.874,1.0,1.0,0.858,0.003,ACE inhibitor,generic,-pril,roomy,False,,
ipidipril,False,grammar,1,56.78,65.41,moderate,-10.41,4.59,imidapril,0.6929,4,INTRA_STEM_TOO_CLOSE,SIMILARITY_MODERATE,,ipidipril,0.0,0.45,0.924,1.0,1.0,0.983,0.001,ACE inhibitor,generic,-pril,roomy,False,,
dopplopril,True,grammar,1,62.71,58.53,moderate,-3.53,11.47,dyclopro,0.6405,3,,SIMILARITY_MODERATE,,dopplopril,0.0,1.0,0.642,1.0,1.0,0.873,0.0,ACE inhibitor,generic,-pril,roomy,True,,
fapezepril,True,grammar,1,62.59,55.51,moderate,-0.51,14.49,sacubitril,0.6204,4,,SIMILARITY_MODERATE,,fapezepril,0.0,0.733,0.924,1.0,1.0,0.998,0.0,ACE inhibitor,generic,-pril,roomy,False,,
nelmavepril,False,grammar,1,62.73,58.38,moderate,-3.38,11.62,nyvepria,0.611,4,TRADEMARK_HIT,SIMILARITY_MODERATE,,nelmavepril,0.0,0.771,0.9,1.0,1.0,0.952,0.026,ACE inhibitor,generic,-pril,roomy,False,,
alaldapril,True,grammar,1,57.92,61.05,moderate,-6.05,8.95,addaprin,0.6247,4,,SIMILARITY_MODERATE,,alaldapril,0.0,0.517,0.9,1.0,1.0,0.998,0.001,ACE inhibitor,generic,-pril,roomy,False,,
irtargepril,True,grammar,1,58.06,59.89,moderate,-4.89,10.11,target,0.6323,4,,SIMILARITY_MODERATE,,irtargepril,0.0,0.564,0.875,1.0,1.0,0.952,0.0,ACE inhibitor,generic,-pril,roomy,False,,
sukopril,True,grammar,1,65.46,63.46,moderate,-8.46,6.54,xcopri,0.6042,3,,SIMILARITY_MODERATE,,sukopril,0.0,1.0,0.899,1.0,1.0,0.787,0.0,ACE inhibitor,generic,-pril,roomy,True,,
mofonupril,False,grammar,1,67.92,60.17,moderate,-5.17,9.83,zofenopril,0.6315,4,INTRA_STEM_TOO_CLOSE,SIMILARITY_MODERATE,,mofonupril,0.0,1.0,0.924,1.0,1.0,0.998,0.0,ACE inhibitor,generic,-pril,roomy,False,,
