sweep_target,target_type,target_stem,difficulty,evaluated,admissible,admissible_rate,band_low,band_moderate,returned,best_quality,mean_shortlist_quality,verifier_calls,wall_seconds,error
ACE inhibitor,generic,-pril,roomy,64,32,0.5,0,32,10,71.27,65.29,64,26.74,
angiotensin II receptor antagonist,generic,-sartan,roomy,202,41,0.203,4,37,10,70.62,66.91,202,87.89,
vasopressin receptor antagonist,generic,-vaptan,roomy,67,34,0.507,4,30,10,69.17,67.22,67,28.94,
dihydropyridine calcium channel blocker,generic,-dipine,roomy,136,27,0.199,0,27,10,68.98,66.44,136,64.21,
beta-blocker,generic,-olol,crowded,65,40,0.615,6,34,10,68.12,66.15,65,27.03,
proton pump inhibitor,generic,-prazole,crowded,279,54,0.194,2,52,10,68.6,63.84,279,138.29,
local anaesthetic,generic,-caine,crowded,135,36,0.267,0,36,10,68.52,65.57,135,59.04,
HMG-CoA reductase inhibitor,generic,-statin,crowded,272,59,0.217,0,59,10,67.29,63.57,272,130.67,
tetracycline antibacterial,generic,-cycline,crowded,267,52,0.195,5,47,10,68.18,65.36,267,134.43,
tyrosine kinase inhibitor,generic,-tinib,saturated,207,39,0.188,1,38,10,71.45,67.07,207,93.7,
monoclonal antibody,generic,-mab,saturated,62,46,0.742,0,46,10,67.13,66.28,62,25.38,
DPP-4 inhibitor,generic,-gliptin,saturated,274,38,0.139,6,32,10,63.41,59.22,274,136.4,
SGLT2 inhibitor,generic,-gliflozin,saturated,270,30,0.111,19,11,10,60.64,57.6,270,156.76,
PARP inhibitor,generic,-parib,saturated,61,40,0.656,2,38,10,69.0,68.23,61,26.66,
"proprietary mark, cardiovascular",brand,,brand,63,31,0.492,2,29,10,66.88,64.98,63,17.73,
"proprietary mark, oncology",brand,,brand,63,31,0.492,2,29,10,66.88,64.98,63,17.56,
"proprietary mark, CNS / neurology",brand,,brand,63,31,0.492,2,29,10,66.88,64.98,63,18.13,
"proprietary mark, anti-infective",brand,,brand,63,31,0.492,2,29,10,66.88,64.98,63,17.54,
"proprietary mark, respiratory",brand,,brand,63,31,0.492,2,29,10,66.88,64.98,63,18.0,
"proprietary mark, dermatology",brand,,brand,63,31,0.492,2,29,10,66.88,64.98,63,17.4,
