threshold,sensitivity,specificity,youden_j,false_positives,false_negatives
30.0,1.0,0.81,0.81,76,0
32.5,1.0,0.902,0.902,39,0
35.0,0.967,0.943,0.909,23,1
37.5,0.967,0.97,0.937,12,1
40.0,0.967,0.985,0.952,6,1
42.5,0.933,0.99,0.923,4,2
45.0,0.9,0.993,0.893,3,3
47.5,0.867,0.995,0.862,2,4
50.0,0.833,0.998,0.831,1,5
52.5,0.833,0.998,0.831,1,5
55.0,0.767,1.0,0.767,0,7
57.5,0.7,1.0,0.7,0,9
60.0,0.633,1.0,0.633,0,11
62.5,0.567,1.0,0.567,0,13
65.0,0.533,1.0,0.533,0,14
67.5,0.467,1.0,0.467,0,16
70.0,0.367,1.0,0.367,0,19
72.5,0.267,1.0,0.267,0,22
75.0,0.233,1.0,0.233,0,23
77.5,0.133,1.0,0.133,0,26
80.0,0.067,1.0,0.067,0,28
82.5,0.067,1.0,0.067,0,28
85.0,0.0,1.0,0.0,0,30
87.5,0.0,1.0,0.0,0,30
90.0,0.0,1.0,0.0,0,30
92.5,0.0,1.0,0.0,0,30
95.0,0.0,1.0,0.0,0,30
